t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wbx,wby,wbz,Fx,Fy,Fz,Tx,Ty,Tz
0.516666667,4.98660716,5.00004062,5.00056496,-0.0321111614,0.000174071254,0.00143135658,0.992752088,-6.33470152e-05,0.120180121,-0.000160155439,-1.87855348e-05,0.181161149,-0.00105504082,0.0158604244,-4.31604661e-05,1.70272094,0.000111036567,-0.0610137861,-6.88932837e-05
0.533333333,4.98607618,5.00004351,5.00058909,-0.0318587349,0.000173384334,0.00144766872,0.992579366,-6.4147062e-05,0.121598395,-0.000169038507,4.22811388e-06,0.171450512,-0.00106231948,0.0163537924,0.000222620744,1.70178897,-0.000297743301,-0.057594789,-0.000163047928
0.55,4.98554954,5.00004646,5.00061324,-0.0315984562,0.000176927453,0.0014491481,0.992414011,-6.52997405e-05,0.122940614,-0.000178188812,-3.22747653e-05,0.162284006,-0.00109973135,0.0184111439,0.000972399113,1.70179652,-0.000233144899,-0.0543883225,8.05292738e-05
0.566666667,4.98502778,5.00004967,5.00063742,-0.0313054338,0.000192403666,0.00145074766,0.992255804,-6.67594551e-05,0.124211031,-0.000187275539,-6.81862675e-05,0.153627822,-0.0010970993,0.0202340427,0.000469327311,1.70004115,-0.00103033348,-0.0519840824,0.000120427549
0.583333333,4.98451139,5.000053,5.00066116,-0.030983399,0.000199873242,0.00142440954,0.992104619,-6.9581932e-05,0.125412844,-0.000196377831,-0.000228621419,0.145354237,-0.00111965673,0.0219353895,0.000547166865,1.69986865,-0.000341314837,-0.0490428279,0.000282684396
0.6,4.98400082,5.00005647,5.00068442,-0.0306342864,0.000208581673,0.00139532609,0.991960212,-7.28876674e-05,0.126549951,-0.000205169188,-0.000289252628,0.1375488,-0.00109029232,0.0246864013,-0.000501433029,1.70239107,0.00027818977,-0.0468343269,-8.39526735e-05
0.616666667,4.9834968,5.00005982,5.00070786,-0.0302413901,0.000200601118,0.00140638814,0.991822431,-7.58004832e-05,0.127625284,-0.000214028576,-0.000239869336,0.130094906,-0.00109280065,0.0246353512,-0.000821399933,1.70383115,-0.000453819117,-0.0434216854,2.86428953e-05
0.633333333,4.98299931,5.00006294,5.00073186,-0.0298493063,0.000187528132,0.00144036982,0.991690895,-7.93027111e-05,0.128643355,-0.00022293123,-0.000307830328,0.123184101,-0.00110733744,0.0252505244,-0.000556707917,1.70098518,-0.000512095366,-0.0412854736,0.000381743117
0.65,4.98250852,5.00006592,5.00075568,-0.0294474317,0.000178667851,0.0014290564,0.991565412,-8.35313292e-05,0.129606997,-0.000231423282,-0.00039909775,0.116613267,-0.00107004396,0.0259094437,0.00106575709,1.7015761,-0.000631624065,-0.038899841,-1.28129899e-05
0.666666667,4.9820246,5.00006918,5.00077947,-0.0290350701,0.000195629902,0.00142714776,0.991445727,-8.85763818e-05,0.130519365,-0.00024004486,-0.000492747005,0.110422122,-0.00109850687,0.0258218839,-0.00136450194,1.70130924,0.000546549378,-0.0376943843,5.90989571e-05
0.683333333,4.98154753,5.00007208,5.00080315,-0.0286241021,0.000173913179,0.00142099201,0.991331773,-9.29009108e-05,0.131382062,-0.000248498352,-0.000408164692,0.104422913,-0.00106758673,0.0261554204,8.62005921e-05,1.70077453,-0.000687000091,-0.0348310788,9.20802054e-05
0.7,4.9810774,5.000075,5.00082659,-0.0282078257,0.000175285104,0.0014063261,0.991223175,-9.81332023e-05,0.132198869,-0.000256954601,-0.000514680339,0.0988793202,-0.00108257818,0.0284208616,4.48484445e-05,1.69958485,-0.000513299047,-0.0328324047,0.000266458314
0.716666667,4.98061481,5.00007793,5.00084947,-0.0277554936,0.000175998889,0.00137272583,0.991119696,-0.000104075769,0.132972428,-0.000265154658,-0.000601835745,0.0936538309,-0.00106372405,0.0289892131,0.000798564756,1.69989258,-0.000427864588,-0.0320936716,-0.000271996734
0.733333333,4.98015991,5.00008108,5.00087187,-0.0272941159,0.000188708442,0.00134402316,0.991021305,-0.000110521455,0.133703722,-0.000273791993,-0.000653287883,0.0885459433,-0.00112412555,0.0294391598,-0.000529100023,1.70004162,-0.000369569706,-0.0300712631,0.000211924344
